# Time (s),Acceleration (g)
25.16,0.037728899
25.18,0.022127490
25.20,0.004078800
25.22,0.002345310
25.24,-0.006322140
25.26,-0.029163419
25.28,-0.038748599
25.30,-0.046600289
25.32,-0.051494848
25.34,-0.079230684
25.36,-0.064037157
25.38,-0.019272329
25.40,0.019272329
25.42,0.051902730
25.44,0.075865679
25.46,0.076375529
25.48,0.057307139
25.50,0.046396348
25.52,0.053534248
25.54,0.064750948
25.56,0.074540066
25.58,0.086776465
25.60,0.094526184
25.62,0.099420747
25.64,0.094730128
25.66,0.083003579
25.68,0.026920079
25.70,-0.029469329
25.72,-0.091874965
25.74,-0.138679200
25.76,-0.087592229
25.78,-0.047721958
25.80,0.008259570
25.82,0.060570179
25.84,0.083921310
25.86,0.056695316
25.88,0.030692969
25.90,-0.001121670
25.92,-0.038748599
25.94,-0.035383590
25.96,-0.002039400
25.98,0.018354599
26.00,0.064547007
26.02,0.102989700
26.04,0.114206400
26.06,0.113186700
26.08,0.095851797
26.10,0.082085847
26.12,0.061997757
26.14,0.051800757
26.16,0.021005820
26.18,-0.020495970
26.20,-0.058326839
26.22,-0.104009400
26.24,-0.135620100
26.26,-0.125423100
26.28,-0.123383700
26.30,-0.102989700
26.32,-0.077701134
26.34,-0.055879557
26.36,-0.049863330
26.38,-0.041297849
26.40,-0.029673269
26.42,-0.017946720
26.44,-0.014377770
26.46,-0.009993060
