# Time (s),Acceleration (g)
5.39000000,-0.01675008
5.40000000,-0.01676107
5.41000000,-0.01676818
5.42000000,-0.01676495
5.43000000,-0.01676430
5.44000000,-0.01677271
5.45000000,-0.01677271
5.46000000,-0.01676171
5.47000000,-0.01675719
5.48000000,-0.01674620
5.49000000,-0.01673327
5.50000000,-0.01673521
5.51000000,-0.01674103
5.52000000,-0.01675978
5.53000000,-0.01678952
5.54000000,-0.01681150
5.55000000,-0.01681279
5.56000000,-0.01678111
5.57000000,-0.01675072
5.58000000,-0.01673973
5.59000000,-0.01673715
5.60000000,-0.01675784
5.61000000,-0.01677012
5.62000000,-0.01675913
5.63000000,-0.01676171
5.64000000,-0.01675848
5.65000000,-0.01675072
5.66000000,-0.01675525
5.67000000,-0.01674878
5.68000000,-0.01674943
5.69000000,-0.01675654
5.70000000,-0.01675072
5.71000000,-0.01675978
5.72000000,-0.01677206
5.73000000,-0.01677400
5.74000000,-0.01678564
5.75000000,-0.01678758
5.76000000,-0.01678111
5.77000000,-0.01676947
5.78000000,-0.01675266
5.79000000,-0.01676430
5.80000000,-0.01678693
5.81000000,-0.01678887
5.82000000,-0.01677917
5.83000000,-0.01674814
5.84000000,-0.01670676
5.85000000,-0.01668478
5.86000000,-0.01670159
5.87000000,-0.01675913
5.88000000,-0.01680115
5.89000000,-0.01680180
5.90000000,-0.01680180
5.91000000,-0.01679081
5.92000000,-0.01675784
5.93000000,-0.01672551
5.94000000,-0.01670935
5.95000000,-0.01672292
5.96000000,-0.01676236
5.97000000,-0.01680180
5.98000000,-0.01680762
5.99000000,-0.01678111
6.00000000,-0.01677529
6.01000000,-0.01678305
6.02000000,-0.01676559
6.03000000,-0.01676171
6.04000000,-0.01677206
6.05000000,-0.01675719
6.06000000,-0.01674038
6.07000000,-0.01673650
6.08000000,-0.01673973
6.09000000,-0.01675266
6.10000000,-0.01676559
6.11000000,-0.01678305
6.12000000,-0.01679792
6.13000000,-0.01679210
6.14000000,-0.01676236
6.15000000,-0.01672034
6.16000000,-0.01670870
6.17000000,-0.01673456
6.18000000,-0.01676171
6.19000000,-0.01678046
6.20000000,-0.01678370
6.21000000,-0.01678758
6.22000000,-0.01680374
6.23000000,-0.01678305
6.24000000,-0.01673715
6.25000000,-0.01671517
6.26000000,-0.01671452
6.27000000,-0.01674167
6.28000000,-0.01678305
6.29000000,-0.01680956
6.30000000,-0.01680503
6.31000000,-0.01676301
6.32000000,-0.01673779
6.33000000,-0.01675654
6.34000000,-0.01677271
6.35000000,-0.01677141
6.36000000,-0.01675654
6.37000000,-0.01675137
6.38000000,-0.01676689
6.39000000,-0.01677271
6.40000000,-0.01677529
6.41000000,-0.01677400
6.42000000,-0.01675525
6.43000000,-0.01674814
6.44000000,-0.01675072
6.45000000,-0.01675978
6.46000000,-0.01677723
6.47000000,-0.01676624
6.48000000,-0.01674555
6.49000000,-0.01674297
6.50000000,-0.01674361
6.51000000,-0.01675590
6.52000000,-0.01676236
6.53000000,-0.01675978
6.54000000,-0.01677141
6.55000000,-0.01677788
6.56000000,-0.01677982
6.57000000,-0.01678693
6.58000000,-0.01677852
6.59000000,-0.01676495
6.60000000,-0.01675072
6.61000000,-0.01674555
6.62000000,-0.01675848
6.63000000,-0.01676624
6.64000000,-0.01677077
6.65000000,-0.01677012
6.66000000,-0.01674943
6.67000000,-0.01674620
6.68000000,-0.01676107
6.69000000,-0.01676430
6.70000000,-0.01675590
6.71000000,-0.01673521
6.72000000,-0.01672357
6.73000000,-0.01674103
6.74000000,-0.01677594
6.75000000,-0.01681344
6.76000000,-0.01681473
6.77000000,-0.01677917
6.78000000,-0.01675396
6.79000000,-0.01674103
6.80000000,-0.01674038
6.81000000,-0.01676107
6.82000000,-0.01677594
6.83000000,-0.01678111
6.84000000,-0.01677917
6.85000000,-0.01676301
6.86000000,-0.01674038
6.87000000,-0.01672098
6.88000000,-0.01673197
6.89000000,-0.01676689
6.90000000,-0.01679469
6.91000000,-0.01681214
6.92000000,-0.01679921
6.93000000,-0.01675460
6.94000000,-0.01672486
6.95000000,-0.01672098
6.96000000,-0.01673844
6.97000000,-0.01676689
6.98000000,-0.01677917
6.99000000,-0.01678176
7.00000000,-0.01677271
7.01000000,-0.01675460
7.02000000,-0.01674943
7.03000000,-0.01674426
7.04000000,-0.01673521
7.05000000,-0.01674426
7.06000000,-0.01675654
7.07000000,-0.01677917
7.08000000,-0.01681602
7.09000000,-0.01682055
7.10000000,-0.01678952
7.11000000,-0.01675978
7.12000000,-0.01673973
7.13000000,-0.01672939
7.14000000,-0.01673133
7.15000000,-0.01673909
7.16000000,-0.01675008
7.17000000,-0.01675654
7.18000000,-0.01676365
7.19000000,-0.01678758
7.20000000,-0.01680568
7.21000000,-0.01678434
7.22000000,-0.01673973
7.23000000,-0.01671193
7.24000000,-0.01672098
7.25000000,-0.01675137
7.26000000,-0.01677529
7.27000000,-0.01678499
7.28000000,-0.01678564
7.29000000,-0.01677077
7.30000000,-0.01676171
7.31000000,-0.01677141
7.32000000,-0.01677852
7.33000000,-0.01678176
7.34000000,-0.01677788
7.35000000,-0.01675460
7.36000000,-0.01673909
7.37000000,-0.01673456
7.38000000,-0.01672357
7.39000000,-0.01673262
7.40000000,-0.01676430
7.41000000,-0.01678628
7.42000000,-0.01678693
7.43000000,-0.01677141
7.44000000,-0.01675719
7.45000000,-0.01675460
7.46000000,-0.01675913
7.47000000,-0.01677271
7.48000000,-0.01678176
7.49000000,-0.01678240
7.50000000,-0.01677917
7.51000000,-0.01675848
7.52000000,-0.01673327
7.53000000,-0.01672486
7.54000000,-0.01673391
7.55000000,-0.01676107
7.56000000,-0.01678046
7.57000000,-0.01677982
7.58000000,-0.01677788
7.59000000,-0.01677658
7.60000000,-0.01676236
7.61000000,-0.01673844
7.62000000,-0.01672810
7.63000000,-0.01673585
7.64000000,-0.01675137
7.65000000,-0.01678046
7.66000000,-0.01680891
7.67000000,-0.01680762
7.68000000,-0.01679145
7.69000000,-0.01676495
7.70000000,-0.01672357
7.71000000,-0.01669512
7.72000000,-0.01670741
7.73000000,-0.01674878
7.74000000,-0.01678370
7.75000000,-0.01679792
7.76000000,-0.01680309
7.77000000,-0.01679598
7.78000000,-0.01677206
7.79000000,-0.01674426
7.80000000,-0.01673133
7.81000000,-0.01674361
7.82000000,-0.01677206
7.83000000,-0.01679598
7.84000000,-0.01678499
7.85000000,-0.01674232
7.86000000,-0.01671323
7.87000000,-0.01671581
7.88000000,-0.01674684
7.89000000,-0.01678887
7.90000000,-0.01680439
7.91000000,-0.01680245
7.92000000,-0.01679275
7.93000000,-0.01676689
7.94000000,-0.01673715
7.95000000,-0.01671193
7.96000000,-0.01671840
7.97000000,-0.01676107
7.98000000,-0.01680115
7.99000000,-0.01681861
8.00000000,-0.01679081
8.01000000,-0.01673327
8.02000000,-0.01671323
8.03000000,-0.01672680
8.04000000,-0.01675460
8.05000000,-0.01678952
8.06000000,-0.01678370
8.07000000,-0.01676236
8.08000000,-0.01676624
8.09000000,-0.01676301
8.10000000,-0.01675072
8.11000000,-0.01673585
8.12000000,-0.01672292
8.13000000,-0.01674361
8.14000000,-0.01678564
8.15000000,-0.01681990
8.16000000,-0.01682637
8.17000000,-0.01678952
8.18000000,-0.01674361
8.19000000,-0.01671969
8.20000000,-0.01671646
8.21000000,-0.01672034
8.22000000,-0.01672357
8.23000000,-0.01674038
8.24000000,-0.01676883
8.25000000,-0.01679857
8.26000000,-0.01682249
8.27000000,-0.01681085
8.28000000,-0.01676883
8.29000000,-0.01673456
8.30000000,-0.01672939
8.31000000,-0.01675202
8.32000000,-0.01677271
8.33000000,-0.01678111
8.34000000,-0.01678564
8.35000000,-0.01677982
8.36000000,-0.01676689
8.37000000,-0.01675784
8.38000000,-0.01675590
8.39000000,-0.01675525
8.40000000,-0.01674749
8.41000000,-0.01674038
8.42000000,-0.01673391
8.43000000,-0.01673262
8.44000000,-0.01674749
8.45000000,-0.01675202
8.46000000,-0.01675072
8.47000000,-0.01676430
8.48000000,-0.01677400
8.49000000,-0.01678240
8.50000000,-0.01679339
8.51000000,-0.01679404
8.52000000,-0.01679145
8.53000000,-0.01677271
8.54000000,-0.01675008
8.55000000,-0.01675072
8.56000000,-0.01674943
8.57000000,-0.01674426
8.58000000,-0.01675072
8.59000000,-0.01675590
8.60000000,-0.01675590
8.61000000,-0.01675202
8.62000000,-0.01676559
8.63000000,-0.01679598
8.64000000,-0.01679727
8.65000000,-0.01676818
8.66000000,-0.01673973
8.67000000,-0.01673650
8.68000000,-0.01675719
8.69000000,-0.01677012
8.70000000,-0.01676883
8.71000000,-0.01676624
8.72000000,-0.01676365
8.73000000,-0.01675913
8.74000000,-0.01674426
8.75000000,-0.01674361
8.76000000,-0.01676624
8.77000000,-0.01677012
8.78000000,-0.01674878
8.79000000,-0.01673585
8.80000000,-0.01674426
8.81000000,-0.01675460
8.82000000,-0.01674878
8.83000000,-0.01675331
8.84000000,-0.01678046
8.85000000,-0.01681085
8.86000000,-0.01683800
8.87000000,-0.01683089
8.88000000,-0.01677788
8.89000000,-0.01673521
8.90000000,-0.01671387
8.91000000,-0.01670223
8.92000000,-0.01671775
8.93000000,-0.01674943
8.94000000,-0.01676883
8.95000000,-0.01676236
8.96000000,-0.01675460
8.97000000,-0.01677077
8.98000000,-0.01678693
8.99000000,-0.01679275
9.00000000,-0.01679081
9.01000000,-0.01677077
9.02000000,-0.01676171
9.03000000,-0.01676818
9.04000000,-0.01676236
9.05000000,-0.01675525
9.06000000,-0.01675654
9.07000000,-0.01676042
9.08000000,-0.01675525
9.09000000,-0.01674555
9.10000000,-0.01674297
9.11000000,-0.01673715
9.12000000,-0.01674620
9.13000000,-0.01678046
9.14000000,-0.01678822
9.15000000,-0.01676365
9.16000000,-0.01673262
9.17000000,-0.01671323
9.18000000,-0.01673973
